"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Aron Emilsson","man","SD","Riksdagsledamot, Ordförande, Suppleant, Ledamot, Ledamot, Ledamot, Suppleant","False","True","True","False"
"Tomas Eneroth","man","S","Riksdagsledamot, Ledamot, Vice ordförande, Ersättare","False","False","True","True"
"Cecilia Engström","kvinna","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Lars Engsund","man","M","Suppleant, Riksdagsledamot, Ledamot","False","False","True","False"
"Matheus Enholm","man","SD","Kvittningsperson, Riksdagsledamot, Ledamot, Ledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Karin Enström","kvinna","M","Partisekreterare, Riksdagsledamot, Suppleant, Ledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Jan Ericson","man","M","Ordförande, Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ersättare","False","True","True","False"
"Mattias Eriksson Falk","man","SD","Riksdagsledamot, Ledamot, Suppleant, Personlig ersättare, Ledamot, Suppleant","False","False","True","False"
"Sofie Eriksson","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Yasmine Eriksson","kvinna","SD","Riksdagsledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Åsa Eriksson","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Matilda Ernkrans","kvinna","S","Riksdagsledamot, Suppleant, Suppleant, Vice ordförande, Ledamot","False","False","True","True"
"Mikael Eskilandersson","man","SD","Riksdagsledamot, Vice ordförande","False","False","True","True"
"Erik Ezelius","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Rashid Farivar","man","SD","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Runar Filper","man","SD","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Kenneth G Forslund","man","S","Förste vice talman, Riksdagsledamot, Suppleant, Vice ordförande","False","False","True","True"
"Joar Forssell","man","L","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Kajsa Fredholm","kvinna","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Ann-Christine Frohm Utterstedt","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Isak From","man","S","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Marianne Fundahn","kvinna","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Ida Gabrielsson","kvinna","V","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Helena Gellerman","kvinna","L","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Nima Gholam Ali Pour","man","SD","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Rasmus Giertz","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Sara Gille","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Samuel Gonzalez Westling","man","V","Gruppledare, Riksdagsledamot, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Mats Green","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Jörgen Grubb","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Hanna Gunnarsson","kvinna","V","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Jytte Guteland","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","True","False","True","False"
"Gustaf Göthberg","man","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Tony Haddou","man","V","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot","False","False","True","True"
"Monica Haider","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot, Suppleant, Personlig suppleant","False","False","True","False"
"Lena Hallengren","kvinna","S","Gruppledare, Riksdagsledamot, Ledamot, Vice ordförande, Ledamot","False","False","True","True"
"Ann-Charlotte Hammar Johnsson","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Robert Hannah","man","L","Riksdagsledamot, Vice ordförande, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","True"
